"osn","conti_name","candidate","party","total_votes","pct_votes","evm_votes","postal_votes","migrant_votes","xrow_id","xgroup_id","xconti_total"
1,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","AYAN MANDAL","All India Trinamool Congress",1721,0.83,1717,4,NA,1,1,207296
2,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","KULDEEP RAI SHARMA","Indian National Congress",95308,45.98,95249,59,NA,2,1,207296
3,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","PRAKASH MINJ","Bahujan Samaj Party",2486,1.2,2478,8,NA,3,1,207296
4,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","VISHAL JOLLY","Bharatiya Janata Party",93901,45.3,93772,129,NA,4,1,207296
5,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","SANJAY MESHACK","Aam Aadmi Party",2839,1.37,2837,2,NA,5,1,207296
6,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","C G SAJI KUMAR","All India Hindustan Congress Party",212,0.1,212,0,NA,6,1,207296
7,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","K KALIMUTHU","Independent",275,0.13,269,6,NA,7,1,207296
8,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","V V KHALID","Independent",306,0.15,305,1,NA,8,1,207296
9,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","GOUR CHANDRA MAJUMDER","Independent",221,0.11,221,0,NA,9,1,207296
10,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","PARITOSH KUMAR HALDAR","Independent",5341,2.58,5339,2,NA,10,1,207296
11,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","MINATI BISWAS","Independent",618,0.3,615,3,NA,11,1,207296
12,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","C U RASHEED","Independent",273,0.13,272,1,NA,12,1,207296
13,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","K VENKAT RAM BABU","Independent",914,0.44,914,0,NA,13,1,207296
14,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","S SUDERSHAN RAO","Independent",475,0.23,475,0,NA,14,1,207296
15,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","HENRY","Independent",994,0.48,994,0,NA,15,1,207296
16,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","NOTA","None of the Above",1412,0.68,1411,1,NA,16,1,207296
1,"Andhra Pradesh-Amalapuram","AYYAJI VEMA MANEPALLI","Bharatiya Janata Party",11516,0.94,11358,158,NA,17,2,1230903
2,"Andhra Pradesh-Amalapuram","GANTI HARISH MADHUR (BALAYOGI)","Telugu Desam",445347,36.18,442774,2573,NA,18,2,1230903
3,"Andhra Pradesh-Amalapuram","CHINTA ANURADHA","Yuvajana Sramika Rythu Congress Party",485313,39.43,481358,3955,NA,19,2,1230903
4,"Andhra Pradesh-Amalapuram","JANGA GOUTHAM","Indian National Congress",7878,0.64,7840,38,NA,20,2,1230903
5,"Andhra Pradesh-Amalapuram","CHELLE RAJANI","Jana Jagruti Party",1228,0.1,1228,0,NA,21,2,1230903
6,"Andhra Pradesh-Amalapuram","PANTHAGADA VIJAYA CHAKRAVARTHY","Republican Party of India (Khobragade)",1801,0.15,1801,0,NA,22,2,1230903
7,"Andhra Pradesh-Amalapuram","MURALIKRISHNA KANDERI","India Praja Bandhu Party",1802,0.15,1801,1,NA,23,2,1230903
8,"Andhra Pradesh-Amalapuram","MORTHA SIVA RAMA KRISHNA","Pyramid Party of India",1950,0.16,1946,4,NA,24,2,1230903
9,"Andhra Pradesh-Amalapuram","D M R SEKHAR","Janasena Party",254848,20.7,253271,1577,NA,25,2,1230903
10,"Andhra Pradesh-Amalapuram","REVU SUDHAKAR","Independent",2771,0.23,2770,1,NA,26,2,1230903
11,"Andhra Pradesh-Amalapuram","NOTA","None of the Above",16449,1.34,16408,41,NA,27,2,1230903
1,"Andhra Pradesh-Anakapalli","ADARI ANAND KUMAR","Telugu Desam",497034,40.13,495381,1653,NA,28,3,1238491
2,"Andhra Pradesh-Anakapalli","Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram)","Bharatiya Janata Party",13276,1.07,12888,388,NA,29,3,1238491
3,"Andhra Pradesh-Anakapalli","Dr.Beesetti Venkata Satyavathi","Yuvajana Sramika Rythu Congress Party",586226,47.33,583210,3016,NA,30,3,1238491
4,"Andhra Pradesh-Anakapalli","Ruthala Srirama Murthy","Indian National Congress",10121,0.82,10072,49,NA,31,3,1238491
5,"Andhra Pradesh-Anakapalli","P.S.AJAY KUMAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",2716,0.22,2708,8,NA,32,3,1238491
6,"Andhra Pradesh-Anakapalli","K B SWAROOP","Jana Jagruti Party",1621,0.13,1615,6,NA,33,3,1238491
7,"Andhra Pradesh-Anakapalli","Chintala Partha Sarathi","Janasena Party",82588,6.67,82126,462,NA,34,3,1238491
8,"Andhra Pradesh-Anakapalli","Taadi Veera Jagadeeshwari","Pyramid Party of India",1803,0.15,1801,2,NA,35,3,1238491
9,"Andhra Pradesh-Anakapalli","Vadlamuri Krishna Swaroop","Dalita Bahujana Party",4444,0.36,4443,1,NA,36,3,1238491
10,"Andhra Pradesh-Anakapalli","Appala Naidu Tummagunta","Independent",3765,0.3,3760,5,NA,37,3,1238491
11,"Andhra Pradesh-Anakapalli","NOTA","None of the Above",34897,2.82,34877,20,NA,38,3,1238491
1,"Andhra Pradesh-Anantapur","D.JAGADEESH","Communist Party of India",20294,1.51,20192,102,NA,39,4,1342306
2,"Andhra Pradesh-Anantapur","TALARI RANGAIAH","Yuvajana Sramika Rythu Congress Party",695208,51.79,690901,4307,NA,40,4,1342306
3,"Andhra Pradesh-Anantapur","J.C. PAVAN REDDY","Telugu Desam",553780,41.26,550597,3183,NA,41,4,1342306
4,"Andhra Pradesh-Anantapur","K.RAJIV REDDY","Indian National Congress",30079,2.24,29994,85,NA,42,4,1342306
5,"Andhra Pradesh-Anantapur","HAMSA DEVINENI","Bharatiya Janata Party",7604,0.57,7440,164,NA,43,4,1342306
6,"Andhra Pradesh-Anantapur","GADIDAMA RANGANAYAKULU","Vishwa Jana Party",728,0.05,728,0,NA,44,4,1342306
7,"Andhra Pradesh-Anantapur","P.RADHA KRISHNA","Radical Democrats",1220,0.09,1219,1,NA,45,4,1342306
8,"Andhra Pradesh-Anantapur","G. LALITHA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",899,0.07,890,9,NA,46,4,1342306
9,"Andhra Pradesh-Anantapur","M.VENKATESULU","Pyramid Party of India",1048,0.08,1043,5,NA,47,4,1342306
10,"Andhra Pradesh-Anantapur","S.V.P. YADAV","Independent",4398,0.33,4398,0,NA,48,4,1342306
11,"Andhra Pradesh-Anantapur","P. RANGAIAH","Independent",3588,0.27,3580,8,NA,49,4,1342306
12,"Andhra Pradesh-Anantapur","L. RANGAIAH","Independent",1691,0.13,1688,3,NA,50,4,1342306
13,"Andhra Pradesh-Anantapur","VADDE KASINATH","Independent",2066,0.15,2063,3,NA,51,4,1342306
14,"Andhra Pradesh-Anantapur","SOMANATH DESHMUKH","Independent",3237,0.24,3236,1,NA,52,4,1342306
15,"Andhra Pradesh-Anantapur","NOTA","None of the Above",16466,1.23,16406,60,NA,53,4,1342306
1,"Andhra Pradesh-Aruku","KISHORE CHANDRA DEO","Telugu Desam",338101,31.46,336163,1938,NA,54,5,1074538
2,"Andhra Pradesh-Aruku","Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY","Bharatiya Janata Party",17867,1.66,17578,289,NA,55,5,1074538
3,"Andhra Pradesh-Aruku","GODDETI. MADHAVI","Yuvajana Sramika Rythu Congress Party",562190,52.32,557561,4629,NA,56,5,1074538
4,"Andhra Pradesh-Aruku","SHRUTI DEVI VYRICHERLA","Indian National Congress",17730,1.65,17656,74,NA,57,5,1074538
5,"Andhra Pradesh-Aruku","GANGULAIAH VAMPURU.","Janasena Party",42794,3.98,42245,549,NA,58,5,1074538
6,"Andhra Pradesh-Aruku","SWAMULA. SUBRAHMANYAM","Jana Jagruti Party",4710,0.44,4705,5,NA,59,5,1074538
7,"Andhra Pradesh-Aruku","ANUMULA VAMSIKRISHNA","Independent",10240,0.95,10211,29,NA,60,5,1074538
8,"Andhra Pradesh-Aruku","KANGALA BALUDORA","Independent",13826,1.29,13810,16,NA,61,5,1074538
9,"Andhra Pradesh-Aruku","NARAVA SATYAVATHI","Independent",11236,1.05,11231,5,NA,62,5,1074538
10,"Andhra Pradesh-Aruku","BIDDIKA RAMAYYA.","Independent",7867,0.73,7863,4,NA,63,5,1074538
11,"Andhra Pradesh-Aruku","NOTA","None of the Above",47977,4.46,47955,22,NA,64,5,1074538
1,"Andhra Pradesh-Bapatla","CHALLAGALI KISHORE KUMAR","Bharatiya Janata Party",10351,0.82,9842,509,NA,65,6,1266492
2,"Andhra Pradesh-Bapatla","K. DEVANAND","Bahujan Samaj Party",42580,3.36,42262,318,NA,66,6,1266492
3,"Andhra Pradesh-Bapatla","NANDIGAM SURESH","Yuvajana Sramika Rythu Congress Party",598257,47.24,592250,6007,NA,67,6,1266492
4,"Andhra Pradesh-Bapatla","MALYADRI SRIRAM","Telugu Desam",582192,45.97,577403,4789,NA,68,6,1266492
5,"Andhra Pradesh-Bapatla","J.D. SEELAM","Indian National Congress",13155,1.04,12941,214,NA,69,6,1266492
6,"Andhra Pradesh-Bapatla","KUMAR KATTEPOGU","Pyramid Party of India",885,0.07,877,8,NA,70,6,1266492
7,"Andhra Pradesh-Bapatla","GADDE HARI BABU","Navodayam Party",530,0.04,521,9,NA,71,6,1266492
8,"Andhra Pradesh-Bapatla","CHINA NAGESWARA RAO SADHU","Mundadugu Praja Party",466,0.04,463,3,NA,72,6,1266492
9,"Andhra Pradesh-Bapatla","THUMATI RAVI","All Peoples Party",370,0.03,368,2,NA,73,6,1266492
10,"Andhra Pradesh-Bapatla","NUTHAKKI RAMA RAO","All India Praja Party",606,0.05,600,6,NA,74,6,1266492
11,"Andhra Pradesh-Bapatla","GELLA NAGAMALLI","Independent",655,0.05,651,4,NA,75,6,1266492
12,"Andhra Pradesh-Bapatla","GOLLA BABURAO","Independent",1276,0.1,1271,5,NA,76,6,1266492
13,"Andhra Pradesh-Bapatla","BUSSA NAGARAJU","Independent",1951,0.15,1943,8,NA,77,6,1266492
14,"Andhra Pradesh-Bapatla","NOTA","None of the Above",13218,1.04,13178,40,NA,78,6,1266492
1,"Andhra Pradesh-Chittoor","CHEEMALA. RANGAPPA","Indian National Congress",24643,1.87,24497,146,NA,79,7,1319472
2,"Andhra Pradesh-Chittoor","JAYARAM DUGGANI","Bharatiya Janata Party",10496,0.8,10137,359,NA,80,7,1319472
3,"Andhra Pradesh-Chittoor","NARAMALLI SIVA PRASAD","Telugu Desam",549521,41.65,545374,4147,NA,81,7,1319472
4,"Andhra Pradesh-Chittoor","C. PUNYAMURTHY","Bahujan Samaj Party",20062,1.52,19952,110,NA,82,7,1319472
5,"Andhra Pradesh-Chittoor","N. REDDEPPA","Yuvajana Sramika Rythu Congress Party",686792,52.05,681325,5467,NA,83,7,1319472
6,"Andhra Pradesh-Chittoor","PALLIPATTU. ABHINAV VISHNU","Mundadugu Praja Party",3445,0.26,3441,4,NA,84,7,1319472
7,"Andhra Pradesh-Chittoor","P. RAMACHANDRAN","Independent",1863,0.14,1854,9,NA,85,7,1319472
8,"Andhra Pradesh-Chittoor","A. HEMANTH","Independent",2094,0.16,2089,5,NA,86,7,1319472
9,"Andhra Pradesh-Chittoor","NOTA","None of the Above",20556,1.56,20503,53,NA,87,7,1319472
1,"Andhra Pradesh-Eluru","KOTAGIRI SRIDHAR","Yuvajana Sramika Rythu Congress Party",676809,50.97,672834,3975,NA,88,8,1327923
2,"Andhra Pradesh-Eluru","CHINNAM RAMA KOTAYYA","Bharatiya Janata Party",8412,0.63,8317,95,NA,89,8,1327923
3,"Andhra Pradesh-Eluru","JETTI GURUNADHA RAO","Indian National Congress",20378,1.53,20284,94,NA,90,8,1327923
4,"Andhra Pradesh-Eluru","MAGANTTI VENKATESWARA RAO BABU","Telugu Desam",510884,38.47,509549,1335,NA,91,8,1327923
5,"Andhra Pradesh-Eluru","CHINA VENKATA SURYANARAYANA JOSYULA","Pyramid Party of India",2935,0.22,2932,3,NA,92,8,1327923
6,"Andhra Pradesh-Eluru","PENTAPATI PULLARAO","Janasena Party",76827,5.79,76481,346,NA,93,8,1327923
7,"Andhra Pradesh-Eluru","MATHE. BOBBY","Republican Party of India (A)",1879,0.14,1871,8,NA,94,8,1327923
8,"Andhra Pradesh-Eluru","V. SIVA RAMA KRISHNA","Jana Jagruti Party",1261,0.09,1261,0,NA,95,8,1327923
9,"Andhra Pradesh-Eluru","ALAGA. RAVI KUMAR","Independent",1648,0.12,1648,0,NA,96,8,1327923
10,"Andhra Pradesh-Eluru","Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU)","Independent",3010,0.23,3010,0,NA,97,8,1327923
11,"Andhra Pradesh-Eluru","NOTA","None of the Above",23880,1.8,23861,19,NA,98,8,1327923
1,"Andhra Pradesh-Guntur","Jayadev Galla","Telugu Desam",587918,43.5,586292,1626,NA,99,9,1351474
2,"Andhra Pradesh-Guntur","Jayaprakash Narayana Valluru","Bharatiya Janata Party",11841,0.88,11667,174,NA,100,9,1351474
3,"Andhra Pradesh-Guntur","Modugula Venugopala Reddy","Yuvajana Sramika Rythu Congress Party",583713,43.19,580840,2873,NA,101,9,1351474
4,"Andhra Pradesh-Guntur","Shaik Mastanvali","Indian National Congress",14205,1.05,14124,81,NA,102,9,1351474
5,"Andhra Pradesh-Guntur","Araveti Hazarath Rao","Pyramid Party of India",810,0.06,808,2,NA,103,9,1351474
6,"Andhra Pradesh-Guntur","Ullagi David Jayakumar","Hardam Manavtawadi Rashtriya Dal",447,0.03,447,0,NA,104,9,1351474
7,"Andhra Pradesh-Guntur","Jeldi Raja Mohan","All India Praja Party",437,0.03,437,0,NA,105,9,1351474
8,"Andhra Pradesh-Guntur","Nagaraju Ekula","Republican Party of India (A)",920,0.07,920,0,NA,106,9,1351474
9,"Andhra Pradesh-Guntur","Bonaboyina Srinivasa Rao","Janasena Party",129205,9.56,128746,459,NA,107,9,1351474
10,"Andhra Pradesh-Guntur","Mannava Hariprasad","Communist Party of India (Marxist-Leninist) Red Star",3216,0.24,3212,4,NA,108,9,1351474
11,"Andhra Pradesh-Guntur","Ramarao Simhadri","Praja Shanthi Party",1746,0.13,1744,2,NA,109,9,1351474
12,"Andhra Pradesh-Guntur","Jacob Vidyasagar Nakka","Viduthalai Chiruthaigal Katchi",641,0.05,639,2,NA,110,9,1351474
13,"Andhra Pradesh-Guntur","Sarabandi Raju Sikhinam","Indian Labour Party (Ambedkar Phule)",1017,0.08,1015,2,NA,111,9,1351474
14,"Andhra Pradesh-Guntur","Shaik Jaleel","Navarang Congress Party",563,0.04,560,3,NA,112,9,1351474
15,"Andhra Pradesh-Guntur","Samudrala Chinna Kotaiah","National Dalitha Dhal Party",628,0.05,628,0,NA,113,9,1351474
16,"Andhra Pradesh-Guntur","Umar Basha Shaik","Independent",2676,0.2,2676,0,NA,114,9,1351474
17,"Andhra Pradesh-Guntur","Dasari Kiran Babu","Independent",2909,0.22,2907,2,NA,115,9,1351474
18,"Andhra Pradesh-Guntur","Doppalapudi Veera Das","Independent",629,0.05,629,0,NA,116,9,1351474
19,"Andhra Pradesh-Guntur","Yanamadala Venkata Suresh","Independent",1947,0.14,1947,0,NA,117,9,1351474
20,"Andhra Pradesh-Guntur","NOTA","None of the Above",6006,0.44,5972,34,NA,118,9,1351474
1,"Andhra Pradesh-Hindupur","KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR)","Indian National Congress",27156,2.03,26973,183,NA,119,10,1338514
2,"Andhra Pradesh-Hindupur","KURUVA GORANTLA MADHAV","Yuvajana Sramika Rythu Congress Party",706602,52.79,699739,6863,NA,120,10,1338514
3,"Andhra Pradesh-Hindupur","KRISTAPPA . NIMMALA","Telugu Desam",565854,42.27,561602,4252,NA,121,10,1338514
4,"Andhra Pradesh-Hindupur","MITTA PARTHASARATHI","Bharatiya Janata Party",13805,1.03,13530,275,NA,122,10,1338514
5,"Andhra Pradesh-Hindupur","Ram Mohan Singamneni","Pyramid Party of India",1313,0.1,1305,8,NA,123,10,1338514
6,"Andhra Pradesh-Hindupur","S.R.Anjaneyulu","Independent",1227,0.09,1215,12,NA,124,10,1338514
7,"Andhra Pradesh-Hindupur","GOGULA PULAKUNTA JAYANTH","Independent",1582,0.12,1578,4,NA,125,10,1338514
8,"Andhra Pradesh-Hindupur","Mugi Surya Prakash","Independent",1316,0.1,1315,1,NA,126,10,1338514
9,"Andhra Pradesh-Hindupur","Ramamohan D.G.","Independent",2231,0.17,2230,1,NA,127,10,1338514
10,"Andhra Pradesh-Hindupur","NOTA","None of the Above",17428,1.3,17356,72,NA,128,10,1338514
1,"Andhra Pradesh-Kadapa","Y.S.Avinash Reddy","Yuvajana Sramika Rythu Congress Party",783799,63.8,778267,5532,NA,129,11,1228592
2,"Andhra Pradesh-Kadapa","Chadipirala Adi Narayana Reddy","Telugu Desam",402823,32.79,400192,2631,NA,130,11,1228592
3,"Andhra Pradesh-Kadapa","Gundlakunta Sreeramulu","Indian National Congress",8341,0.68,8280,61,NA,131,11,1228592
4,"Andhra Pradesh-Kadapa","Gujjula Eswaraiah","Communist Party of India",6242,0.51,6152,90,NA,132,11,1228592
5,"Andhra Pradesh-Kadapa","Sri Rama Chandra Singareddy","Bharatiya Janata Party",4085,0.33,3917,168,NA,133,11,1228592
6,"Andhra Pradesh-Kadapa","Ameen Peeran Shaik","Ambedkar National Congress",573,0.05,571,2,NA,134,11,1228592
7,"Andhra Pradesh-Kadapa","Lakshmi Reddy Putha","Rajyadhikara Party",368,0.03,365,3,NA,135,11,1228592
8,"Andhra Pradesh-Kadapa","Pedakala Varalakshmi","Pyramid Party of India",716,0.06,705,11,NA,136,11,1228592
9,"Andhra Pradesh-Kadapa","Chadipirala Siva Narayana Reddy","Navarang Congress Party",446,0.04,445,1,NA,137,11,1228592
10,"Andhra Pradesh-Kadapa","Siva Chandra Reddy Komma","Anna YSR Congress Party",1422,0.12,1398,24,NA,138,11,1228592
11,"Andhra Pradesh-Kadapa","Gona Purushottam Reddy","Independent",1134,0.09,1131,3,NA,139,11,1228592
12,"Andhra Pradesh-Kadapa","Jakku Chenna Krishna Reddy","Independent",579,0.05,578,1,NA,140,11,1228592
13,"Andhra Pradesh-Kadapa","Nyamatulla Shaik","Independent",759,0.06,755,4,NA,141,11,1228592
14,"Andhra Pradesh-Kadapa","Peddireddy Showry Subhash Reddy","Independent",865,0.07,865,0,NA,142,11,1228592
15,"Andhra Pradesh-Kadapa","Venu Gopal Rachineni","Independent",1748,0.14,1748,0,NA,143,11,1228592
16,"Andhra Pradesh-Kadapa","NOTA","None of the Above",14692,1.2,14629,63,NA,144,11,1228592
1,"Andhra Pradesh-Kakinada","CHALAMALASETTY SUNIL","Telugu Desam",511892,41.46,508361,3531,NA,145,12,1234655
2,"Andhra Pradesh-Kakinada","MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU)","Indian National Congress",8640,0.7,8601,39,NA,146,12,1234655
3,"Andhra Pradesh-Kakinada","YALLA VENKATA RAMA MOHAN RAO (DORABABU)","Bharatiya Janata Party",9596,0.78,9456,140,NA,147,12,1234655
4,"Andhra Pradesh-Kakinada","VANGA GEETHAVISWANATH","Yuvajana Sramika Rythu Congress Party",537630,43.54,534655,2975,NA,148,12,1234655
5,"Andhra Pradesh-Kakinada","APPALAKONDA VANGALAPUDI","Mundadugu Praja Party",2997,0.24,2997,0,NA,149,12,1234655
6,"Andhra Pradesh-Kakinada","B. GEETHA","Praja Shanthi Party",1688,0.14,1687,1,NA,150,12,1234655
7,"Andhra Pradesh-Kakinada","GODUGU SATYANARAYANA","Communist Party of India  (Marxist-Leninist)  (Liberation)",1724,0.14,1723,1,NA,151,12,1234655
8,"Andhra Pradesh-Kakinada","JYOTHULA VENKATESWARA RAO","Janasena Party",132648,10.74,132124,524,NA,152,12,1234655
9,"Andhra Pradesh-Kakinada","DONAM NEELAKANTAM","All India Praja Party",980,0.08,980,0,NA,153,12,1234655
10,"Andhra Pradesh-Kakinada","PEDDIMSETTI. VENKATESWARARAO","Jana Jagruti Party",815,0.07,812,3,NA,154,12,1234655
11,"Andhra Pradesh-Kakinada","VASAMSETTY VENKATARAMANA","All India Forward Bloc",1014,0.08,1012,2,NA,155,12,1234655
12,"Andhra Pradesh-Kakinada","SATHI VEERALAKSHMI","Pyramid Party of India",1119,0.09,1117,2,NA,156,12,1234655
13,"Andhra Pradesh-Kakinada","ANKADI SATHIBABU","Independent",1381,0.11,1381,0,NA,157,12,1234655
14,"Andhra Pradesh-Kakinada","KAKILETI RAVINDRA","Independent",3327,0.27,3325,2,NA,158,12,1234655
15,"Andhra Pradesh-Kakinada","MEDISETTI VIJAYA KUMAR","Independent",2051,0.17,2051,0,NA,159,12,1234655
16,"Andhra Pradesh-Kakinada","NOTA","None of the Above",17153,1.39,17117,36,NA,160,12,1234655
1,"Andhra Pradesh-Kurnool","AHMED ALI KHAN","Indian National Congress",36258,3.07,36169,89,NA,161,13,1182011
2,"Andhra Pradesh-Kurnool","KOTLA JAYA SURYA PRAKASH REDDY","Telugu Desam",453665,38.38,450341,3324,NA,162,13,1182011
3,"Andhra Pradesh-Kurnool","Dr. PARTHASARATHI VALMIKI","Bharatiya Janata Party",24330,2.06,24089,241,NA,163,13,1182011
4,"Andhra Pradesh-Kurnool","K. PRABHAKARA REDDY","Communist Party of India  (Marxist)",18919,1.6,18818,101,NA,164,13,1182011
5,"Andhra Pradesh-Kurnool","AYUSHMAN DOCTOR SANJEEV KUMAR","Yuvajana Sramika Rythu Congress Party",602554,50.98,600190,2364,NA,165,13,1182011
6,"Andhra Pradesh-Kurnool","ABDUL WARIS","SOCIAL DEMOCRATIC PARTY OF INDIA",7265,0.61,7261,4,NA,166,13,1182011
7,"Andhra Pradesh-Kurnool","KASULA RAJASEKHAR","Pyramid Party of India",1226,0.1,1223,3,NA,167,13,1182011
8,"Andhra Pradesh-Kurnool","DANDU SESHU YADAV","Samajwadi Party",3266,0.28,3264,2,NA,168,13,1182011
9,"Andhra Pradesh-Kurnool","M. NAGANNA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1285,0.11,1283,2,NA,169,13,1182011
10,"Andhra Pradesh-Kurnool","S.MD. SHAFATH","Rayalaseema Rashtra Samithi",1221,0.1,1220,1,NA,170,13,1182011
11,"Andhra Pradesh-Kurnool","G Sanjeeva Kumar","Samajwadi Forward Bloc",2097,0.18,2095,2,NA,171,13,1182011
12,"Andhra Pradesh-Kurnool","HATCHOLI THOMAS","Independent",1496,0.13,1489,7,NA,172,13,1182011
13,"Andhra Pradesh-Kurnool","DEVARAPOGU MADDILETY","Independent",1697,0.14,1696,1,NA,173,13,1182011
14,"Andhra Pradesh-Kurnool","BALIJA. SHIVA KUMAR","Independent",2741,0.23,2741,0,NA,174,13,1182011
15,"Andhra Pradesh-Kurnool","T. BEECHUPALLY","Independent",9771,0.83,9771,0,NA,175,13,1182011
16,"Andhra Pradesh-Kurnool","P.V. SRIHARI","Independent",6551,0.55,6548,3,NA,176,13,1182011
17,"Andhra Pradesh-Kurnool","NOTA","None of the Above",7669,0.65,7643,26,NA,177,13,1182011
1,"Andhra Pradesh-Machilipatnam","KONAKALLA NARAYANA RAO","Telugu Desam",511295,41.18,508570,2725,NA,178,14,1241605
2,"Andhra Pradesh-Machilipatnam","GUDIVAKA RAMANJANEYULU","Bharatiya Janata Party",6462,0.52,6355,107,NA,179,14,1241605
3,"Andhra Pradesh-Machilipatnam","GOLLU KRISHNA","Indian National Congress",12284,0.99,12207,77,NA,180,14,1241605
4,"Andhra Pradesh-Machilipatnam","BALASHOWRY VALLABHANENI","Yuvajana Sramika Rythu Congress Party",571436,46.02,566178,5258,NA,181,14,1241605
5,"Andhra Pradesh-Machilipatnam","PERAM SIVA NAGESWARA RAO","Republican Party of India (A)",3622,0.29,3620,2,NA,182,14,1241605
6,"Andhra Pradesh-Machilipatnam","BANDREDDI RAMAKRISHNA","Janasena Party",113292,9.12,112416,876,NA,183,14,1241605
7,"Andhra Pradesh-Machilipatnam","YARLAGADDA RAMA MOHANA RAO","Bahujan Maha Party",1017,0.08,1016,1,NA,184,14,1241605
8,"Andhra Pradesh-Machilipatnam","VALLURU VENKATESWARA RAO","Pyramid Party of India",826,0.07,824,2,NA,185,14,1241605
9,"Andhra Pradesh-Machilipatnam","GANDHI DHANEKULA","Independent",846,0.07,846,0,NA,186,14,1241605
10,"Andhra Pradesh-Machilipatnam","NADAKUDITI NAGA GAYATHRI","Independent",773,0.06,771,2,NA,187,14,1241605
11,"Andhra Pradesh-Machilipatnam","GUDIVAKA VENKATA NAGA BASAVA RAO","Independent",896,0.07,895,1,NA,188,14,1241605
12,"Andhra Pradesh-Machilipatnam","VIJAYA LAKSHMI CHALAPAKA","Independent",4779,0.38,4766,13,NA,189,14,1241605
13,"Andhra Pradesh-Machilipatnam","NOTA","None of the Above",14077,1.13,14043,34,NA,190,14,1241605
1,"Andhra Pradesh-Nandyal","ADINARAYANA INTY","Bharatiya Janata Party",9066,0.7,8794,272,NA,191,15,1299093
2,"Andhra Pradesh-Nandyal","JANGITE LAKSHMI NARASIMHA YADAV","Indian National Congress",14420,1.11,14313,107,NA,192,15,1299093
3,"Andhra Pradesh-Nandyal","POCHA . BRAHMANANDA REDDY","Yuvajana Sramika Rythu Congress Party",720888,55.49,715024,5864,NA,193,15,1299093
4,"Andhra Pradesh-Nandyal","MANDRA SIVANANDA REDDY","Telugu Desam",470769,36.24,466869,3900,NA,194,15,1299093
5,"Andhra Pradesh-Nandyal","D. P. JAMAL BASHA.","Anna YSR Congress Party",4089,0.31,3981,108,NA,195,15,1299093
6,"Andhra Pradesh-Nandyal","PULA. NAGAMADDILETY","Ambedkar National Congress",937,0.07,931,6,NA,196,15,1299093
7,"Andhra Pradesh-Nandyal","D. MAHAMMAD RAFI .","B. C. United Front",649,0.05,645,4,NA,197,15,1299093
8,"Andhra Pradesh-Nandyal","RUDDIREDDY RADHAKRISHNA","All India Forward Bloc",673,0.05,667,6,NA,198,15,1299093
9,"Andhra Pradesh-Nandyal","S.P.Y. REDDY","Janasena Party",38871,2.99,38568,303,NA,199,15,1299093
10,"Andhra Pradesh-Nandyal","S. A. INDUMATHI","Independent",847,0.07,842,5,NA,200,15,1299093
11,"Andhra Pradesh-Nandyal","ELLURI. BHUPAL.","Independent",668,0.05,667,1,NA,201,15,1299093
12,"Andhra Pradesh-Nandyal","K.P. KAMBAGIRISWAMY.","Independent",767,0.06,765,2,NA,202,15,1299093
13,"Andhra Pradesh-Nandyal","JESTADI SUDHAKAR","Independent",4542,0.35,4542,0,NA,203,15,1299093
14,"Andhra Pradesh-Nandyal","I.V. PAKKIR REDDY","Independent",3103,0.24,3103,0,NA,204,15,1299093
15,"Andhra Pradesh-Nandyal","POLURU GURUVAIAH.","Independent",6099,0.47,6099,0,NA,205,15,1299093
16,"Andhra Pradesh-Nandyal","BHUMA KISHOR REDDY","Independent",4852,0.37,4848,4,NA,206,15,1299093
17,"Andhra Pradesh-Nandyal","B.C. RAMANATHA REDDY","Independent",2543,0.2,2543,0,NA,207,15,1299093
18,"Andhra Pradesh-Nandyal","Dr. LAKSHMI KANTHA REDDY CHITLA","Independent",1429,0.11,1428,1,NA,208,15,1299093
19,"Andhra Pradesh-Nandyal","VANGALA PARAMESWARA REDDY.","Independent",2382,0.18,2380,2,NA,209,15,1299093
